Energy  consumption of dram;Energy consumption of cpu;Energy consumption of package;tempo
0.09130899999999542;1.3933110000000397;2.048522999999932;22:24:59
0.057738999999997986;0.009459999999990032;0.45501699999977063;22:24:59
0.05535900000000993;0.00433300000008785;0.43396000000029744;22:24:59
0.056151999999997315;0.005310999999892374;0.43426499999986845;22:24:59
0.056519000000008646;0.010741999999936525;0.4459839999999531;22:24:59
0.05725099999997951;0.008362000000033731;0.4367069999998421;22:24:59
0.05541900000000055;0.009033000000044922;0.44329800000014075;22:24:59
0.05639700000000403;0.01379399999996167;0.440063999999893;22:25:0
0.05651800000001117;0.010620000000017171;0.44158900000002177;22:25:0
0.05566500000000474;0.006286000000045533;0.4396360000000641;22:25:0
0.055174999999991314;0.005126999999902182;0.4336550000002717;22:25:0
0.05737300000001255;0.007691000000022541;0.4413449999997283;22:25:0
0.05609199999997827;0.005065999999942505;0.4391479999999319;22:25:0
0.055542000000002645;0.006042000000206826;0.43481500000007145;22:25:0
0.056213000000013835;0.005004999999982829;0.43975799999998344;22:25:0
0.05633599999998751;0.011046999999962281;0.4385980000001837;22:25:0
0.05584699999999998;0.006775000000061482;0.44036899999991874;22:25:0
0.056883999999996604;0.005859999999984211;0.43499800000017785;22:25:1
0.055481000000014546;0.005248999999821535;0.4400630000000092;22:25:1
0.055970000000002074;0.005310000000008586;0.43701199999986784;22:25:1
0.05529699999999593;0.0043940000000475266;0.43505800000002637;22:25:1
0.055542000000002645;0.004090000000132932;0.43585299999995186;22:25:1
0.05773999999999546;0.013610999999855267;0.44293199999992794;22:25:1
0.05609100000000922;0.005432000000155313;0.4388420000000224;22:25:1
0.055542000000002645;0.004759999999805586;0.4346930000001521;22:25:1
0.05584699999999998;0.004944000000023152;0.43322699999998804;22:25:1
0.05529799999999341;0.004029000000173255;0.43798900000001595;22:25:1
0.0560299999999927;0.008116999999856489;0.4355459999997038;22:25:2
0.0570069999999987;0.00952200000006087;0.44433600000002116;22:25:2
0.05590799999998808;0.005370999999968262;0.4375;22:25:2
0.05535900000000993;0.0034180000000105792;0.43383799999992334;22:25:2
0.05572499999999536;0.005859000000100423;0.4325560000002042;22:25:2
0.06359900000001062;0.27398699999980636;0.7136850000001687;22:25:2
0.05523700000000531;0.007324000000153319;0.4367669999996906;22:25:2
0.05749499999998875;0.010192999999844687;0.4425660000001699;22:25:2
0.05560299999999074;0.006896999999980835;0.4357300000001487;22:25:2
0.05603000000002112;0.005249000000048909;0.4389649999998255;22:25:2
0.056579999999996744;0.0075679999999920256;0.4360959999999068;22:25:3
0.05511500000000069;0.004517000000078042;0.43817100000023856;22:25:3
0.05560299999999074;0.005736999999953696;0.4343879999996716;22:25:3
