Energy  consumption of dram;Energy consumption of cpu;Energy consumption of package;tempo
0.09613000000013017;1.4478759999983595;2.133545000004233;23:2:43
0.05792299999984607;0.011901999998372048;0.4623409999985597;23:2:43
0.057189999999991414;0.009337999999843305;0.44043000000237953;23:2:44
0.05548100000009981;0.00421200000346289;0.4369509999960428;23:2:44
0.055358999999953085;0.004943999996612547;0.43457000000489643;23:2:44
0.05749500000001717;0.013732000003074063;0.4484249999950407;23:2:44
0.05590800000004492;0.00427299999864772;0.4343270000026678;23:2:44
0.05541999999991276;0.0048830000014277175;0.4403069999971194;23:2:44
0.057434000000057495;0.009276999997382518;0.44317600000067614;23:2:44
0.056029999999964275;0.005310000000463333;0.4353029999983846;23:2:44
0.055358999999953085;0.004394999999931315;0.4398810000056983;23:2:44
0.05572500000016589;0.004699000000982778;0.43810999999550404;23:2:44
0.05505399999992733;0.004151000001002103;0.43365500000072643;23:2:45
0.05590800000004492;0.004882999997789739;0.439513999997871;23:2:45
0.0576779999998962;0.007994999999937136;0.43841500000417;23:2:45
0.05548100000009981;0.0051880000028177164;0.44055200000002515;23:2:45
0.05566399999997884;0.00408899999820278;0.4370120000021416;23:2:45
0.05615299999999479;0.006043000001227483;0.4356079999997746;23:2:45
0.055358999999953085;0.004393999999592779;0.440124000000651;23:2:45
0.05554200000005949;0.003540999998222105;0.4364629999981844;23:2:45
0.05688400000008187;0.006896999999298714;0.4385370000018156;23:2:45
0.05572499999993852;0.004150000000663567;0.4370119999948656;23:2:45
0.05596999999988839;0.004761000000144122;0.43438700000115205;23:2:46
0.055603000000019165;0.006408000001101755;0.4423830000014277;23:2:46
0.05566399999997884;0.004211999999824911;0.43646199999784585;23:2:46
0.055420000000140135;0.00598099999842816;0.43566899999859743;23:2:46
0.057616999999936525;0.008728000000701286;0.4442140000028303;23:2:46
0.056152000000111;0.007813000000169268;0.44067399999767076;23:2:46
0.05529799999999341;0.0039060000017343555;0.4350590000030934;23:2:46
0.05584699999985787;0.005493000000569737;0.4374390000011772;23:2:46
0.055603000000019165;0.008483999998134095;0.43835399999807123;23:2:46
0.05566399999997884;0.00756800000090152;0.4374390000011772;23:2:46
0.05706800000007206;0.006530999999085907;0.4411619999955292;23:2:47
0.055785999999898195;0.0038449999992735684;0.4338990000032936;23:2:47
0.05535900000018046;0.004944000000250526;0.44012500000098953;23:2:47
