Energy  consumption of dram;Energy consumption of cpu;Energy consumption of package;tempo
0.08984400000008463;1.4957279999998718;2.518615000000864;17:2:3
0.05792199999996228;0.01165700000092329;0.7166750000033062;17:2:3
0.0558469999996305;0.0046999999995023245;0.6870730000009644;17:2:3
0.05542000000059488;0.013061999999990803;0.6920170000012149;17:2:3
0.05694599999969796;0.016906000000744825;0.6906729999973322;17:2:3
0.055358999999953085;0.005187999999179738;0.6815189999979339;17:2:3
0.055358999999953085;0.010193000000072061;0.6862180000025546;17:2:3
0.0559690000000046;0.003905999999915366;0.6875;17:2:4
0.05529800000022078;0.004639000000679516;0.6827399999965564;17:2:4
0.05541999999968539;0.005309999998644344;0.6789550000030431;17:2:4
0.05834899999990739;0.01940900000045076;0.7030030000023544;17:2:4
0.05554200000005949;0.007446999999956461;0.6847529999940889;17:2:4
0.05554200000005949;0.006042000000888947;0.6808470000032685;17:2:4
0.055481000000327185;0.004394999999931315;0.682068000001891;17:2:4
0.05511500000011438;0.003661999999167165;0.6785279999967315;17:2:4
0.055663999999524094;0.0076289999997243285;0.6838990000032936;17:2:4
0.05792300000030082;0.008728000000701286;0.692626999996719;17:2:5
0.05548099999941769;0.004761000000144122;0.6828000000023167;17:2:5
0.055296999999882246;0.00408900000002177;0.6784059999990859;17:2:5
0.05542000000059488;0.013061999999990803;0.688414999996894;17:2:5
0.05603100000007544;0.01238999999986845;0.6950690000012401;17:2:5
0.055296999999882246;0.00408900000002177;0.6817010000013397;17:2:5
0.05755700000008801;0.017334000000118976;0.6927490000016405;17:2:5
0.055663999999524094;0.005127000000356929;0.6813360000014654;17:2:5
0.05670100000043021;0.006042999999408494;0.689818999999261;17:2:5
0.05596999999943364;0.006468999999924563;0.6828609999938635;17:2:5
0.05554200000005949;0.004944000000250526;0.681153000004997;17:2:6
0.054992000000311236;0.006347999998979503;0.6757199999992736;17:2:6
0.05694599999969796;0.007080000001224107;0.6837159999995492;17:2:6
0.055603000000701286;0.005127000000356929;0.6816400000025169;17:2:6
0.05517599999984668;0.0037229999998089625;0.6793829999951413;17:2:6
0.05554200000005949;0.005187999999179738;0.6817620000001625;17:2:6
0.055358999999953085;0.0037229999998089625;0.6805420000018785;17:2:6
0.055358999999953085;0.003845000001092558;0.6812750000026426;17:2:6
0.06433099999958358;0.18609699999979057;0.8629759999967064;17:2:6
0.05542000000059488;0.004149999998844578;0.6804810000030557;17:2:6
0.05535799999961455;0.004150000000663567;0.6801149999955669;17:2:7
0.05541999999968539;0.005371999999624677;0.6815790000036941;17:2:7
0.055054000000382075;0.0031730000009702053;0.6796879999965313;17:2:7
0.055358999999953085;0.003600999998525367;0.6802370000004885;17:2:7
0.05737299999964307;0.008912000001146225;0.685791000003519;17:2:7
0.05511500000011438;0.004027999999379972;0.6795039999997243;17:2:7
0.05493100000057893;0.006042000000888947;0.675598000001628;17:2:7
0.05664100000012695;0.029418999998597428;0.7125249999953667;17:2:7
0.0557249999992564;0.005677000001014676;0.6819450000039069;17:2:7
0.055176000000756176;0.0036010000003443565;0.6796879999965313;17:2:7
0.05725099999926897;0.008299999999508145;0.6859130000011646;17:2:8
0.05468699999983073;0.004516999999395921;0.6730349999997998;17:2:8
0.05554200000005949;0.004394999999931315;0.6816400000025169;17:2:8
0.05529800000022078;0.004150000000663567;0.6804809999957797;17:2:8
0.05523700000048848;0.003418000000237953;0.6804200000042329;17:2:8
0.055236999999578984;0.00378400000045076;0.6803589999981341;17:2:8
0.05719000000044616;0.007995999998456682;0.6849979999969946;17:2:8
0.05493099999966944;0.0035400000015215483;0.6768789999987348;17:2:8
0.05511500000011438;0.0034179999984189635;0.6799320000063744;17:2:8
0.05517599999984668;0.003418000000237953;0.6798099999941769;17:2:8
0.05517599999984668;0.0035400000015215483;0.6799310000060359;17:2:9
0.05554200000005949;0.004271999998309184;0.6829839999991236;17:2:9
0.057555999999749474;0.04083300000093004;0.7156979999999749;17:2:9
0.055358999999953085;0.00408900000002177;0.6805419999946025;17:2:9
0.05542000000059488;0.004333999999289517;0.6809690000009141;17:2:9
0.05517599999984668;0.0036010000003443565;0.6798100000014529;17:2:9
0.05523600000014994;0.0037229999998089625;0.6802370000004885;17:2:9
0.05541999999968539;0.0036010000003443565;0.6812130000034813;17:2:9
0.05731199999991077;0.010131999999430263;0.6850589999958174;17:2:9
0.05554200000005949;0.0046380000003409805;0.6815790000036941;17:2:9
0.05511500000011438;0.003785000000789296;0.6802370000004885;17:2:10
0.055481000000327185;0.004759999999805586;0.6813349999938509;17:2:10
0.05474899999990157;0.003907000000253902;0.6745609999998123;17:2:10
0.055785999999898195;0.0037839999986317707;0.6863400000002002;17:2:10
0.056639999999788415;0.009643000001233304;0.6793830000024172;17:2:10
0.0559690000000046;0.018493999999918742;0.6974479999989853;17:2:10
0.05541999999968539;0.005310000000463333;0.67974900000263;17:2:10
0.05944900000031339;0.024413999999524094;0.7011720000009518;17:2:10
0.057982999999694584;0.029784999998810235;0.7055049999980838;17:2:10
0.06182900000021618;0.22418200000174693;0.8950810000023921;17:2:10
0.058532000000013795;0.018676999998206156;0.6959839999981341;17:2:11
0.05542000000059488;0.004761000000144122;0.6810299999997369;17:2:11
0.05529799999931129;0.004761000000144122;0.6810909999985597;17:2:11
0.055603000000701286;0.005798000000140746;0.682068000001891;17:2:11
0.0558469999996305;0.023865000001023873;0.700806000000739;17:2:11
0.055236999999578984;0.003905999999915366;0.6807249999983469;17:2:11
0.05743400000028487;0.010009999999965657;0.6857299999974202;17:2:11
0.055785999999898195;0.007384999998976127;0.6771240000016405;17:2:11
0.05511500000011438;0.009582000000591506;0.6852409999992233;17:2:11
0.05658000000039465;0.008728999999220832;0.6923220000026049;17:2:11
0.055358999999953085;0.004577000001518172;0.6806639999995241;17:2:12
0.05535799999961455;0.0037839999986317707;0.6817020000016782;17:2:12
0.06420900000011898;0.1471560000009049;0.8239749999993364;17:2:12
0.05694599999969796;0.013854999999239226;0.6840210000009392;17:2:12
0.05523700000048848;0.004150000000663567;0.6803579999977956;17:2:12
0.05554200000005949;0.006104000000050291;0.6766970000026049;17:2:12
0.05511500000011438;0.008179000000382075;0.6826779999973951;17:2:12
0.05554200000005949;0.00512699999853794;0.6817020000016782;17:2:12
0.058959999999387946;0.0158690000007482;0.6928709999992861;17:2:12
0.05517599999984668;0.00378400000045076;0.6792599999971571;17:2:12
0.05541900000025635;0.0057369999994989485;0.681763000000501;17:2:13
0.05541999999968539;0.0045780000000377186;0.6809080000020913;17:2:13
0.05578700000023673;0.005859000000782544;0.6818849999981467;17:2:13
0.05468699999983073;0.00396799999907671;0.6727299999984098;17:2:13
0.05712900000071386;0.008667000000059488;0.6851190000015777;17:2:13
0.05541999999968539;0.004699000000982778;0.6812140000038198;17:2:13
0.05529800000022078;0.004394999999931315;0.6802360000001499;17:2:13
0.055236999999578984;0.004149999998844578;0.6801149999955669;17:2:13
0.05566400000043359;0.006531000000904896;0.6825559999997495;17:2:13
0.055174999999508145;0.003661999999167165;0.6793220000035944;17:2:13
0.05529800000022078;0.003539999999702559;0.6795039999997243;17:2:14
0.055236999999578984;0.0035400000015215483;0.681457999999111;17:2:14
0.05542000000059488;0.004333999999289517;0.6802969999989728;17:2:14
0.05554200000005949;0.004576999999699183;0.6790780000010272;17:2:14
0.05511500000011438;0.0036010000003443565;0.67962599999737;17:2:14
0.055236999999578984;0.004150999999183114;0.6804200000042329;17:2:14
0.05511399999977584;0.0034790000008797506;0.6793819999948028;17:2:14
0.05487100000027567;0.0033569999995961552;0.6751710000025923;17:2:14
0.05517599999984668;0.004821000000447384;0.6776729999983218;17:2:14
0.05529800000022078;0.004028999999718508;0.6804810000030557;17:2:15
0.05541900000025635;0.005919999999605352;0.681457999999111;17:2:15
0.05541999999968539;0.004334000001108507;0.6807249999983469;17:2:15
0.05603100000007544;0.007506999998440733;0.683776999998372;17:2:15
0.05523600000014994;0.004333000000769971;0.6806639999995241;17:2:15
0.05462699999952747;0.0035410000000410946;0.6724240000039572;17:2:15
0.05529800000022078;0.003661999999167165;0.6824340000021039;17:2:15
0.055358999999953085;0.004760000001624576;0.6781009999976959;17:2:15
0.05639599999994971;0.011596999998801039;0.6881710000016028;17:2:15
0.055481000000327185;0.004273000000466709;0.6804809999957797;17:2:15
0.054809999999633874;0.0066520000000309665;0.6759040000033565;17:2:16
0.05505300000004354;0.0033569999995961552;0.6793820000020787;17:2:16
0.05621400000018184;0.009522000000288244;0.6924440000002505;17:2:16
0.054992000000311236;0.006102999999711756;0.6751709999953164;17:2:16
0.05554200000005949;0.005737999999837484;0.6824950000009267;17:2:16
0.055541999999149994;0.004699000000982778;0.6804810000030557;17:2:16
0.05523700000048848;0.004090000000360305;0.6804809999957797;17:2:16
0.05554200000005949;0.004759999999805586;0.6812130000034813;17:2:16
0.059570999999777996;0.12170399999922665;0.7916869999971823;17:2:16
0.05572500000016589;0.009705000000394648;0.6859130000011646;17:2:16
0.055296999999882246;0.009399000000485103;0.685790999996243;17:2:17
0.05517599999984668;0.006408999999621301;0.683777000005648;17:2:17
0.05511500000011438;0.003112999998847954;0.6791379999995115;17:2:17
0.05523700000048848;0.003845000001092558;0.6719969999976456;17:2:17
