Energy  consumption of dram;Energy consumption of cpu;Energy consumption of package;tempo
0.09924300000056974;1.5023810000056983;2.209289999998873;1:43:0
0.06256099999882281;0.027404000000387896;0.4750979999953415;1:43:0
0.05737299999964307;0.008300999994389713;0.4442740000085905;1:43:0
0.058349000000816886;0.026184000002103858;0.4551400000054855;1:43:0
0.056946000000607455;0.006653000004007481;0.43792699999175966;1:43:0
0.057251000000178465;0.008178999996744096;0.44213899999158457;1:43:0
0.05657999999857566;0.007141000001865905;0.4372550000261981;1:43:0
0.05847100000028149;0.030090000000200234;0.46588199998950586;1:43:0
0.057740000000194414;0.008849999998346902;0.43725600000470877;1:43:1
0.05712900000071386;0.007935000001452863;0.44470199997886084;1:43:1
0.05761700000039127;0.008117999997921288;0.43701100000180304;1:43:1
0.056822999998985324;0.006775000001653098;0.4435430000012275;1:43:1
0.05718999999953667;0.014038000001164619;0.4436649999988731;1:43:1
0.05731200000082026;0.009154999999736901;0.4453120000252966;1:43:1
0.057251000000178465;0.009888000000501052;0.4411619999737013;1:43:1
0.05755700000008801;0.0076289999997243285;0.44390900002326816;1:43:1
0.05718999999953667;0.005919999995967373;0.43524199997773394;1:43:1
0.05688399999962712;0.008179000004020054;0.4441520000109449;1:43:1
0.057678999999552616;0.007567999993625563;0.4384769999887794;1:43:2
0.05700600000091072;0.007813000003807247;0.4450680000009015;1:43:2
0.05743400000028487;0.008178999996744096;0.4376219999976456;1:43:2
0.05755700000008801;0.009399000002304092;0.44665600001462735;1:43:2
0.05694500000026892;0.006287000003794674;0.440734000003431;1:43:2
0.05761799999891082;0.009887000000162516;0.4410409999836702;1:43:2
0.057251000000178465;0.0076909999988856725;0.44317600000067614;1:43:2
0.05773899999985588;0.008483999998134095;0.43872000000556;1:43:2
0.05670099999952072;0.0062859999961801805;0.4434820000024047;1:43:2
0.057373999999981606;0.009400000002642628;0.4429930000042077;1:43:2
0.05816600000071048;0.012206999999762047;0.4430540000030305;1:43:3
0.05743400000028487;0.008240000002842862;0.43902600000728853;1:43:3
0.056640999999217456;0.007141000001865905;0.4422609999892302;1:43:3
0.057251000000178465;0.009459999993850943;0.44061300001339987;1:43:3
0.057800000000497676;0.00769100000616163;0.438780999975279;1:43:3
0.05682399999932386;0.007567999993625563;0.4441530000185594;1:43:3
0.05731200000082026;0.007690000005823094;0.44195599999511614;1:43:3
0.057555999999749474;0.008178999996744096;0.4388430000108201;1:43:3
0.05682399999932386;0.00732399999833433;0.44287099997745827;1:43:3
0.05743400000028487;0.008788999999524094;0.4394529999990482;1:43:4
0.057495000000926666;0.007262999999511521;0.443481000023894;1:43:4
0.05822699999953329;0.01501500000449596;0.44543499997234903;1:43:4
0.05749499999910768;0.007873999995354097;0.443481000023894;1:43:4
0.05761800000072981;0.00756800000090152;0.43774399999529123;1:43:4
0.057251000000178465;0.00805699999909848;0.4445809999888297;1:43:4
0.05847100000028149;0.038086000000475906;0.47235100000398234;1:43:4
0.056701999999859254;0.006102999999711756;0.44262700001127087;1:43:4
0.05737299999964307;0.006896999999298714;0.4407950000022538;1:43:4
0.05645800000093004;0.005493000004207715;0.4362189999956172;1:43:4
0.057555999999749474;0.008483999998134095;0.44073499998194166;1:43:5
0.05804399999942689;0.008972000003268477;0.44329799999832176;1:43:5
0.05676300000050105;0.006225999997695908;0.43780500002321787;1:43:5
0.05663999999887892;0.007018999996944331;0.43676799998502247;1:43:5
0.057435000000623404;0.007446000003255904;0.44262700001127087;1:43:5
0.05767799999921408;0.010375999998359475;0.44244300000718795;1:43:5
0.05737300000146206;0.007019000004220288;0.43652399998973124;1:43:5
0.05657900000005611;0.006104000000050291;0.441527999995742;1:43:5
0.05743399999846588;0.006836000000475906;0.4363409999932628;1:43:5
0.05786200000147801;0.03790299999673152;0.4731440000177827;1:43:5
0.058532999999442836;0.01568599999882281;0.44616699998732656;1:43:6
0.058105000000068685;0.009033000002091285;0.43987999999080785;1:43:6
0.056701999999859254;0.007689999998547137;0.44329900000593625;1:43:6
0.05792199999996228;0.008362000000488479;0.43847600001026876;1:43:6
0.056640999999217456;0.006530999999085907;0.44213899999158457;1:43:6
0.05761700000039127;0.006896999999298714;0.4368290000129491;1:43:6
0.05706800000007206;0.007994999999937136;0.43859799997881055;1:43:6
0.05670099999952072;0.006043000001227483;0.4420170000230428;1:43:6
0.057190000001355656;0.006470000000263099;0.43566899999859743;1:43:6
0.05657999999857566;0.005981000002066139;0.4416499999933876;1:43:6
0.05761700000039127;0.007506999994802754;0.43786599999293685;1:43:7
0.05688499999996566;0.006775000001653098;0.44250500001362525;1:43:7
