Energy  consumption of dram;Energy consumption of cpu;Energy consumption of package;tempo
0.08953899999960413;1.5698239999983343;2.220519999995304;19:5:39
0.05737300000009782;0.00994899999932386;0.4539790000053472;19:5:39
0.055908000000272295;0.004150000000663567;0.44042999999510357;19:5:39
0.05694599999969796;0.012208000000100583;0.44384700000227895;19:5:40
0.055420000000140135;0.0039060000017343555;0.4351200000019162;19:5:40
0.055785999999898195;0.005248999998002546;0.4362790000013774;19:5:40
0.0559690000000046;0.009520999999949709;0.4413459999996121;19:5:40
0.055847000000085245;0.006043000001227483;0.4382929999992484;19:5:40
0.05529800000022078;0.005553999999392545;0.435181000000739;19:5:40
0.05596999999988839;0.00640900000144029;0.4372559999974328;19:5:40
0.05609099999992395;0.004637999998521991;0.4397580000004382;19:5:40
0.05554200000005949;0.0048830000014277175;0.4362180000025546;19:5:40
0.055358999999953085;0.003966999996919185;0.43572999999742024;19:5:40
0.055785999999898195;0.006775000001653098;0.4364629999981844;19:5:41
0.055847000000085245;0.005920999999943888;0.43731600000319304;19:5:41
0.05639599999994971;0.006163999998534564;0.44219999999768334;19:5:41
0.05603100000007544;0.005493000000569737;0.4374390000011772;19:5:41
0.055297999999766034;0.007263999999850057;0.43658500000310596;19:5:41
0.05566400000043359;0.005553999999392545;0.43652299999666866;19:5:41
0.05633499999976266;0.0051880000028177164;0.44097899999906076;19:5:41
0.05554200000005949;0.004210999999486376;0.4356079999997746;19:5:41
0.05554200000005949;0.004089999998541316;0.4359130000011646;19:5:41
0.05517599999984668;0.004759999999805586;0.43396000000211643;19:5:41
0.05639599999994971;0.007386000001133652;0.43841499999689404;19:5:42
0.05578700000023673;0.0054319999981089495;0.43658500000310596;19:5:42
0.05639599999994971;0.005615000001853332;0.441222999994352;19:5:42
0.05609099999992395;0.0054319999981089495;0.43780500000139;19:5:42
0.05548099999987244;0.0072630000031495;0.4367679999995744;19:5:42
0.055420000000140135;0.004638999998860527;0.4354250000033062;19:5:42
0.0565799999999399;0.007079999999405118;0.4423820000010892;19:5:42
0.05566399999997884;0.004334000001108507;0.43572999999742024;19:5:42
0.055785999999898195;0.006407999997463776;0.4364019999993616;19:5:42
0.05523700000003373;0.004151000001002103;0.43438700000115205;19:5:42
0.055420000000140135;0.004089000001840759;0.4353029999983846;19:5:43
0.05609099999992395;0.006530999999085907;0.43725600000470877;19:5:43
