Energy  consumption of dram,Energy consumption of cpu,Energy consumption of package,tempo,,,"350,414606000001",,"350,741129000003",,"350,664673000001",,"348,017091999987",,"347,488082999999",,,,,"358,159555000001",,"314,846675999997",,"368,400057000004",,"351,382677999988",,"360,362862000006",,
"0,089843999999999","1,29162599999995","1,93682899999976",20:46:30,,,"0,077270999999996",,"0,077698000000055",,"0,077881000000161",,"0,077330999999958",,"0,070556000000124",,Total Ram:,,,"0,060974000000215",,"0,059081999999762",,"0,064086999999972",,"0,068663999999899",,"0,055237000000034",,
"0,059448000000003","0,010986000000003","0,451355000000149",20:46:30,,,"0,077330999999987",,"0,077698000000055",,"0,077881000000161",,"0,077330999999958",,"0,070556000000124",,"1747,32558299999",,,"0,060974999999985",,"0,059081999999762",,"0,064086999999972",,"0,068725000000086",,"0,055237000000034",,TotalCPU:
"0,05535900000001","0,004151000000036","0,429869999999937",20:46:30,,,"0,077331000000015",,"0,077698000000055",,"0,077940999999783",,"0,077331999999842",,"0,070556000000124",,,,,"0,061034999999947",,"0,059082000000217",,"0,064086999999972",,"0,068725000000086",,"0,055297999999766",,"1753,151828"
"0,058776999999992","0,090210000000013","0,512207000000217",20:46:30,,,"0,077331999999956",,"0,077759000000015",,"0,07794100000001",,"0,077331999999842",,"0,070556000000124",,Mediana:,,,"0,061034999999947",,"0,059082000000217",,"0,064086999999972",,"0,06872599999997",,"0,055419999999685",,
"0,056274000000002","0,005675999999994","0,433837999999923",20:46:30,,,"0,077332000000013",,"0,077759000000015",,"0,077941999999894",,"0,077332000000297",,"0,070557000000008",,"350,414606000001",,,"0,061034999999947",,"0,059142999999949",,"0,064086999999972",,"0,068787000000157",,"0,05542000000014",,mediana:
"0,055542000000003","0,004760999999974","0,429321000000073",20:46:30,,,"0,077332000000013",,"0,077819000000091",,"0,077942000000007",,"0,077391999999691",,"0,070557000000008",,,,,"0,061095999999907",,"0,059143000000404",,"0,064147999999932",,"0,068787000000157",,"0,055480999999873",,"358,159555000001"
"0,055053999999984","0,003966999999989","0,42535399999997",20:46:30,,,"0,077392000000032",,"0,077819000000091",,"0,077942000000007",,"0,077392000000145",,"0,070557000000008",,,,,"0,061095999999907",,"0,059203999999681",,"0,064148000000159",,"0,068847000000005",,"0,055481000000327",,
"0,05767800000001","0,006957999999997","0,43505899999991",20:46:31,,,"0,077392000000032",,"0,077819999999974",,"0,077942000000007",,"0,077392000000145",,"0,070557000000008",,,,,"0,061096000000021",,"0,059203999999681",,"0,064148000000159",,"0,068847000000005",,"0,05554200000006",,
"0,055297999999994","0,003906000000029","0,428039999999783",20:46:31,,,"0,077392999999972",,"0,077819999999974",,"0,077942000000121",,"0,077392000000145",,"0,070616999999857",,,,,"0,06115699999998",,"0,059204000000136",,"0,064208999999892",,"0,068847000000005",,"0,05554200000006",,
"0,055786000000012","0,005310000000009","0,430053000000044",20:46:31,,,"0,077393000000001",,"0,077819999999974",,"0,078002999999853",,"0,077392000000145",,"0,070616999999857",,,,,"0,06115699999998",,"0,059204000000136",,"0,064269999999851",,"0,068847999999889",,"0,055603000000247",,
"0,056457999999992","0,014648999999963","0,440552000000025",20:46:31,,,"0,077454000000046",,"0,077819999999974",,"0,078002999999853",,"0,077392000000145",,"0,07061799999974",,,,,"0,06115699999998",,"0,059204000000136",,"0,064270000000079",,"0,068847999999889",,"0,055603000000247",,
"0,055664000000007","0,011779000000047","0,435791000000336",20:46:31,,,"0,077454000000046",,"0,077819999999974",,"0,078003000000081",,"0,077393000000029",,"0,070618000000195",,,,,"0,061157000000094",,"0,059264999999869",,"0,064270000000079",,"0,068847999999889",,"0,055603000000247",,
